ada_0001|おはようございます|おはようございます
ada_0002|ところで|ところで
ada_0004|おしゃく、いっき、さけのつまみ、よいではないか|おしゃく、いっき、さけのつまみ、よいではないか
ada_0005|10びょうはむりです」nc42309|10びょうはむりです」nc42309
ada_0006|LEVはかい、ぱいろっと、しぼうしました　sm2450714|LEVはかい、ぱいろっと、しぼうしました　sm2450714
ada_0007|OK！|OK！
ada_0008|Vtuberですか|Vtuberですか
ada_0009|あなたはよていされていたらんなーとはちがいますねkrs|あなたはよていされていたらんなーとはちがいますねkrs
ada_0010|ありがとう|ありがとう
ada_0011|ありません|ありません
ada_0012|いえ、そのようなきのうはゆうしておりません|いえ、そのようなきのうはゆうしておりません
ada_0013|えっ、めっちゃうれしい…|えっ、めっちゃうれしい…
ada_0014|えっ？|えっ？
ada_0015|おはようございます。せんとうこうどうをかいしします|おはようございます。せんとうこうどうをかいしします
ada_0016|おはようございます|おはようございます
ada_0017|おみごとです　nc42308|おみごとです　nc42308
ada_0018|ここでたたかうのはふりです|ここでたたかうのはふりです
ada_0019|このちかくにいるようです|このちかくにいるようです
ada_0020|さようなら|さようなら
ada_0021|しばらくそのままでおまちください|しばらくそのままでおまちください
ada_0022|そのままが、あげみざわ|そのままが、あげみざわ
ada_0023|ところで、さきほどからOK！ADAとよびかけるのは、|ところで、さきほどからOK！ADAとよびかけるのは、
ada_0024|ところで|ところで
ada_0025|とっととかたづけましょう|とっととかたづけましょう
ada_0026|は？|は？
ada_0027|は？|は？
ada_0028|は？それがえもい、とうといですか？|は？それがえもい、とうといですか？
ada_0029|はい？|はい？
ada_0030|ほんとほんと！|ほんとほんと！
ada_0031|またですか、、、|またですか、、、
ada_0032|やめてください。かけないでください。|やめてください。かけないでください。
ada_0033|をていあん|をていあん
ada_0034|をていあんします|をていあんします
ada_0035|あらーと、ろっくおんされています|あらーと、ろっくおんされています
ada_0036|えねるぎーげーじかいふく|えねるぎーげーじかいふく
ada_0037|えんかうんと|えんかうんと
ada_0038|げいざーのしようをていあん|げいざーのしようをていあん
ada_0039|こねくてっど|こねくてっど
ada_0040|こまんだーげきは|こまんだーげきは
ada_0041|せらーをはかいしてください|せらーをはかいしてください
ada_0042|ぜろしふとのしようをていあん！|ぜろしふとのしようをていあん！
ada_0043|たーげっとかくにん、せんとうかいし。nc42312|たーげっとかくにん、せんとうかいし。nc42312
ada_0044|だっしゅでふりきってください|だっしゅでふりきってください
ada_0045|だめーじ50％おーばー　sm2908305|だめーじ50％おーばー　sm2908305
ada_0046|だめーじ75％おーばー　sm2908305|だめーじ75％おーばー　sm2908305
ada_0047|だめーじかくごでせっきんせんをいどみましょう|だめーじかくごでせっきんせんをいどみましょう
ada_0048|ちぇっく、あらーと、えんげーじ|ちぇっく、あらーと、えんげーじ
